user_id,day,time_spent,sessions,tasks_completed,tasks_pending,efficiency,distractions,active_sessions,longest_session,most_productive_session,engagement_level
user_2,2024-11-05,195,"[31, 34]",9,3,82,2,2,34,31,Medium
user_2,2024-11-04,217,"[75, 40, 20, 70]",1,0,83,1,4,75,75,High
user_2,2024-11-03,157,"[48, 45, 72, 114]",5,5,84,2,4,114,45,Medium
user_2,2024-11-02,90,"[85, 95, 118]",1,0,79,0,3,118,118,Low
user_2,2024-11-01,52,"[13, 42, 107, 59]",4,4,50,3,4,107,42,Low
user_2,2024-10-31,130,"[56, 70, 114, 67]",9,0,78,1,4,114,67,Medium
user_2,2024-10-30,101,"[58, 67, 85, 94, 100]",6,0,94,0,5,100,58,Low
user_2,2024-10-29,193,[44],0,2,74,0,1,44,44,Medium
user_2,2024-10-28,129,"[57, 38, 64]",8,1,53,3,3,64,64,Medium
user_2,2024-10-27,88,"[99, 43, 54, 97]",2,0,100,1,4,99,54,Low
user_2,2024-10-26,120,"[46, 38]",2,2,59,3,2,46,46,Medium
user_2,2024-10-25,211,[28],9,5,92,0,1,28,28,High
user_2,2024-10-24,166,"[69, 26, 105, 66]",0,0,82,2,4,105,26,Medium
user_2,2024-10-23,30,"[46, 46, 50]",3,5,65,0,3,50,46,Low
user_2,2024-10-22,131,"[94, 103, 60, 59]",9,3,54,3,4,103,94,Medium
user_2,2024-10-21,138,"[74, 25]",6,0,58,2,2,74,25,Medium
user_2,2024-10-20,170,"[79, 104, 94, 16]",2,3,84,2,4,104,79,Medium
user_2,2024-10-19,193,"[20, 44]",0,4,98,1,2,44,44,Medium
user_3,2024-11-17,186,"[84, 109]",2,1,91,2,2,109,84,Medium
user_3,2024-11-16,179,"[61, 17, 49, 66]",4,0,99,2,4,66,61,Medium
user_3,2024-11-15,278,"[49, 79, 64]",10,1,85,0,3,79,49,High
user_3,2024-11-14,71,"[39, 67]",6,5,83,2,2,67,39,Low
user_3,2024-11-13,270,[54],4,2,58,2,1,54,54,High
user_3,2024-11-12,38,[43],5,2,51,3,1,43,43,Low
user_3,2024-11-11,116,"[35, 23, 17, 87, 13]",2,1,84,0,5,87,87,Low
user_3,2024-11-10,158,"[65, 25]",3,2,76,3,2,65,65,Medium
user_3,2024-11-09,295,"[108, 64, 36, 36, 33]",3,2,75,0,5,108,36,High
user_3,2024-11-08,69,"[118, 117, 15, 66]",0,0,61,1,4,118,118,Low
user_3,2024-11-07,111,"[97, 73, 77, 109, 58]",0,3,93,1,5,109,109,Low
user_3,2024-11-06,166,"[16, 91, 15, 45]",2,4,82,1,4,91,91,Medium
user_3,2024-11-05,263,[115],4,3,81,2,1,115,115,High
user_3,2024-11-04,40,[104],8,5,89,0,1,104,104,Low
user_3,2024-11-03,63,[40],5,1,58,3,1,40,40,Low
user_3,2024-11-02,198,"[120, 88, 27]",10,5,81,2,3,120,120,Medium
user_3,2024-11-01,69,"[39, 27, 58]",1,5,51,1,3,58,39,Low
user_3,2024-10-31,94,"[92, 112, 47]",2,3,84,0,3,112,112,Low
user_3,2024-10-30,149,"[119, 10, 30, 103, 79]",2,3,90,0,5,119,10,Medium
user_3,2024-10-29,242,"[118, 104, 114, 43, 34]",2,1,71,0,5,118,104,High
user_3,2024-10-28,300,"[58, 88, 93, 100, 22]",8,2,93,0,5,100,93,High
user_3,2024-10-27,198,"[117, 112]",10,0,56,2,2,117,117,Medium
user_3,2024-10-26,200,[64],6,1,99,2,1,64,64,Medium
user_3,2024-10-25,261,"[93, 63]",0,2,53,0,2,93,93,High
user_3,2024-10-24,127,"[53, 15, 106, 75]",4,4,82,2,4,106,75,Medium
user_3,2024-10-23,49,"[93, 108]",7,5,95,0,2,108,93,Low
user_3,2024-10-22,191,"[43, 34]",6,5,71,0,2,43,43,Medium
user_3,2024-10-21,250,[42],9,0,90,1,1,42,42,High
user_3,2024-10-20,92,"[101, 90, 72, 29]",0,5,90,0,4,101,90,Low
user_3,2024-10-19,153,"[56, 26, 67, 89]",4,0,69,0,4,89,56,Medium
user_4,2024-11-17,286,"[110, 96, 60, 24, 70]",2,0,76,1,5,110,70,High
user_4,2024-11-16,104,"[25, 106, 92]",2,5,64,0,3,106,106,Low
user_4,2024-11-15,207,[13],7,4,84,3,1,13,13,Medium
user_4,2024-11-14,280,"[66, 104, 98, 119, 36]",10,4,72,1,5,119,98,High
user_4,2024-11-13,127,"[90, 116, 83]",0,1,67,1,3,116,83,Medium
user_4,2024-11-12,117,[33],9,5,97,0,1,33,33,Low
user_4,2024-11-11,115,"[27, 109]",2,1,62,3,2,109,27,Low
user_4,2024-11-10,108,"[115, 33, 102]",0,0,72,1,3,115,33,Low
user_4,2024-11-09,250,"[31, 48]",4,2,72,2,2,48,48,High
user_4,2024-11-08,250,[11],3,4,67,0,1,11,11,High
user_4,2024-11-07,251,"[30, 119, 94, 41]",6,4,80,2,4,119,41,High
user_4,2024-11-06,148,"[115, 114, 23, 101, 27]",5,3,96,2,5,115,115,Medium
user_4,2024-11-05,132,"[115, 20, 72, 98]",4,1,78,3,4,115,98,Medium
user_4,2024-11-04,129,"[46, 87, 24, 22]",6,1,50,1,4,87,46,Medium
user_4,2024-11-03,135,"[53, 46, 42, 60, 21]",9,0,72,2,5,60,21,Medium
user_4,2024-11-02,186,"[115, 18, 108, 14, 73]",8,4,71,3,5,115,14,Medium
user_4,2024-11-01,287,"[14, 65]",6,5,73,3,2,65,14,High
user_4,2024-10-31,223,"[88, 28, 96, 119, 56]",9,0,86,1,5,119,119,High
user_4,2024-10-30,247,[50],10,2,50,3,1,50,50,High
user_4,2024-10-29,229,"[73, 108, 42, 69, 100]",9,3,97,3,5,108,100,High
user_4,2024-10-28,247,"[110, 59, 81, 108, 72]",6,0,57,3,5,110,110,High
user_4,2024-10-27,63,"[29, 111, 115, 52, 106]",1,4,77,3,5,115,29,Low
user_4,2024-10-26,138,"[86, 78, 78]",6,4,72,2,3,86,86,Medium
user_4,2024-10-25,204,"[48, 39, 105, 116]",8,3,90,3,4,116,39,Medium
user_4,2024-10-24,35,"[79, 90, 11, 116, 73]",10,4,54,2,5,116,90,Low
user_4,2024-10-23,229,"[59, 38]",4,1,85,1,2,59,59,High
user_4,2024-10-22,286,"[83, 101, 70, 18]",10,2,64,2,4,101,18,High
user_4,2024-10-21,220,"[106, 105]",1,3,59,1,2,106,106,High
user_4,2024-10-20,249,"[43, 65]",6,2,51,3,2,65,65,High
user_4,2024-10-19,280,"[66, 26, 49, 42]",2,4,61,3,4,66,42,High
user_5,2024-11-17,46,"[93, 25, 115]",3,4,91,1,3,115,25,Low
user_5,2024-11-16,148,"[16, 108]",9,1,78,2,2,108,108,Medium
user_5,2024-11-15,218,[52],10,0,69,2,1,52,52,High
user_5,2024-11-14,147,"[31, 68]",1,3,70,3,2,68,31,Medium
user_5,2024-11-13,155,[68],6,0,60,3,1,68,68,Medium
user_5,2024-11-12,31,"[106, 36, 16]",2,0,100,3,3,106,36,Low
user_5,2024-11-11,40,"[47, 117, 105]",2,1,59,1,3,117,105,Low
user_5,2024-11-10,54,"[45, 51]",6,2,55,0,2,51,45,Low
user_5,2024-11-09,268,[56],1,4,79,2,1,56,56,High
user_5,2024-11-08,67,[63],9,5,93,2,1,63,63,Low
user_5,2024-11-07,299,"[94, 58, 62, 69]",9,0,73,3,4,94,62,High
user_5,2024-11-06,90,[120],4,3,79,1,1,120,120,Low
user_5,2024-11-05,222,"[96, 68, 10, 100]",10,4,77,0,4,100,100,High
user_5,2024-11-04,193,"[80, 75]",2,2,75,3,2,80,75,Medium
user_5,2024-11-03,175,"[45, 52, 23, 23]",8,3,57,3,4,52,23,Medium
user_5,2024-11-02,256,[91],1,3,66,0,1,91,91,High
user_5,2024-11-01,239,[62],8,1,73,1,1,62,62,High
user_5,2024-10-31,237,"[120, 99, 21]",5,5,53,1,3,120,120,High
user_5,2024-10-30,212,"[44, 14, 73, 30]",3,0,77,0,4,73,44,High
user_5,2024-10-29,194,[60],2,3,85,1,1,60,60,Medium
user_5,2024-10-28,195,"[28, 44, 100, 96]",7,3,66,1,4,100,96,Medium
user_5,2024-10-27,230,[76],0,2,97,3,1,76,76,High
user_5,2024-10-26,269,"[62, 57, 89]",5,1,64,0,3,89,62,High
user_5,2024-10-25,133,[50],10,1,66,2,1,50,50,Medium
user_5,2024-10-24,137,"[69, 114, 39, 77, 111]",7,2,99,3,5,114,111,Medium
user_5,2024-10-23,108,"[50, 104, 81, 14]",8,0,73,1,4,104,50,Low
user_5,2024-10-22,243,[39],8,2,95,2,1,39,39,High
user_5,2024-10-21,131,[94],4,4,63,2,1,94,94,Medium
user_5,2024-10-20,147,"[17, 111]",8,2,64,1,2,111,17,Medium
user_5,2024-10-19,235,"[97, 94, 15, 45, 72]",2,5,97,0,5,97,94,High
user_6,2024-11-17,33,[60],8,3,95,2,1,60,60,Low
user_6,2024-11-16,78,"[49, 97]",2,3,100,3,2,97,97,Low
user_6,2024-11-15,214,"[58, 61, 58, 87, 62]",7,2,65,2,5,87,87,High
user_6,2024-11-14,155,"[62, 77, 84, 41, 46]",3,5,91,3,5,84,41,Medium
user_6,2024-11-13,226,"[117, 70]",2,1,89,2,2,117,117,High
user_6,2024-11-12,217,"[117, 26, 50]",1,4,57,0,3,117,50,High
user_6,2024-11-11,148,[65],0,5,55,2,1,65,65,Medium
user_6,2024-11-10,111,"[50, 82, 66, 15]",7,4,83,3,4,82,50,Low
user_6,2024-11-09,140,[89],1,2,63,0,1,89,89,Medium
user_6,2024-11-08,248,"[19, 82, 31, 11, 96]",1,5,100,2,5,96,82,High
user_6,2024-11-07,36,"[92, 72, 28, 92, 66]",8,0,68,3,5,92,66,Low
user_6,2024-11-06,157,"[59, 102, 93]",5,2,75,1,3,102,102,Medium
user_6,2024-11-05,39,"[49, 81, 98, 51]",0,0,92,3,4,98,81,Low
user_6,2024-11-04,69,[20],3,1,56,0,1,20,20,Low
user_6,2024-11-03,260,[74],0,0,77,3,1,74,74,High
user_6,2024-11-02,47,"[39, 52, 110, 115, 43]",9,1,63,3,5,115,52,Low
user_6,2024-11-01,101,"[63, 99, 49, 108, 50]",9,5,99,1,5,108,49,Low
user_6,2024-10-31,198,"[64, 86]",1,0,58,1,2,86,86,Medium
user_6,2024-10-30,144,"[20, 30, 117, 75, 15]",2,0,50,1,5,117,15,Medium
user_6,2024-10-29,73,"[114, 82, 62, 118]",10,2,54,0,4,118,118,Low
user_6,2024-10-28,223,"[13, 54]",9,0,74,3,2,54,54,High
user_6,2024-10-27,72,"[31, 100, 14, 27, 29]",5,2,52,2,5,100,100,Low
user_6,2024-10-26,259,"[33, 20]",4,1,51,3,2,33,20,High
user_6,2024-10-25,158,"[104, 72, 94, 46, 34]",2,2,55,0,5,104,34,Medium
user_6,2024-10-24,272,"[104, 46, 77, 12]",4,0,88,2,4,104,46,High
user_6,2024-10-23,90,"[94, 107]",6,5,87,3,2,107,107,Low
user_6,2024-10-22,37,"[57, 46, 103]",7,2,77,1,3,103,46,Low
user_6,2024-10-21,153,"[105, 116, 25, 57, 113]",2,4,85,3,5,116,105,Medium
user_6,2024-10-20,299,[62],1,0,94,0,1,62,62,High
user_6,2024-10-19,45,"[41, 68]",5,0,59,3,2,68,41,Low
user_7,2024-11-17,287,[105],4,2,73,2,1,105,105,High
user_7,2024-11-16,277,"[29, 106, 45, 85, 27]",10,2,59,0,5,106,85,High
user_7,2024-11-15,173,"[117, 40, 85, 112, 88]",9,4,99,2,5,117,85,Medium
user_7,2024-11-14,245,"[69, 64, 74]",5,3,86,1,3,74,69,High
user_7,2024-11-13,285,"[51, 99, 86, 102]",0,2,80,2,4,102,99,High
user_7,2024-11-12,242,"[113, 85, 10, 49, 64]",1,2,82,3,5,113,10,High
user_7,2024-11-11,292,"[48, 36]",3,2,89,2,2,48,48,High
user_7,2024-11-10,118,"[39, 10, 29, 61]",9,2,97,0,4,61,10,Low
user_7,2024-11-09,147,"[104, 102, 21, 73, 76]",7,5,86,2,5,104,76,Medium
user_7,2024-11-08,264,"[90, 28, 83, 98]",9,0,66,3,4,98,90,High
user_7,2024-11-07,73,"[54, 19, 113]",1,5,99,1,3,113,113,Low
user_7,2024-11-06,135,"[110, 120]",8,2,91,2,2,120,110,Medium
user_7,2024-11-05,111,"[62, 94]",10,4,81,3,2,94,94,Low
user_7,2024-11-04,237,"[52, 89, 59]",1,2,70,3,3,89,89,High
user_7,2024-11-03,282,"[34, 107]",3,3,72,2,2,107,34,High
user_7,2024-11-02,160,"[117, 33, 88]",2,0,53,1,3,117,88,Medium
user_7,2024-11-01,51,"[63, 65]",3,2,75,3,2,65,63,Low
user_7,2024-10-31,59,"[25, 95]",4,1,65,1,2,95,95,Low
user_7,2024-10-30,136,[72],9,4,65,2,1,72,72,Medium
user_7,2024-10-29,77,[25],8,5,67,0,1,25,25,Low
user_7,2024-10-28,145,[101],10,1,63,2,1,101,101,Medium
user_7,2024-10-27,280,"[43, 110, 94, 108]",3,2,55,0,4,110,110,High
user_7,2024-10-26,258,"[106, 32, 49, 58, 62]",2,4,89,3,5,106,106,High
user_7,2024-10-25,43,"[19, 31, 116]",10,4,81,3,3,116,19,Low
user_7,2024-10-24,200,"[59, 32, 93]",10,3,91,0,3,93,93,Medium
user_7,2024-10-23,186,"[58, 56]",8,0,61,2,2,58,56,Medium
user_7,2024-10-22,108,"[96, 61, 33, 95]",10,1,88,3,4,96,96,Low
user_7,2024-10-21,126,"[77, 95]",1,4,84,3,2,95,77,Medium
user_7,2024-10-20,224,"[76, 100, 86, 27]",3,2,85,3,4,100,76,High
user_7,2024-10-19,215,[119],4,4,89,2,1,119,119,High
user_8,2024-11-17,167,"[13, 100, 79, 101, 26]",5,2,83,0,5,101,101,Medium
user_8,2024-11-16,234,"[13, 72]",5,0,74,1,2,72,72,High
user_8,2024-11-15,254,"[99, 60, 35, 105, 22]",4,3,58,1,5,105,99,High
user_8,2024-11-14,112,"[74, 100]",2,3,82,1,2,100,100,Low
user_8,2024-11-13,254,"[48, 83]",6,3,91,1,2,83,48,High
user_8,2024-11-12,43,[47],6,0,97,1,1,47,47,Low
user_8,2024-11-11,219,"[16, 36, 57, 100]",2,4,61,3,4,100,57,High
user_8,2024-11-10,155,"[29, 28, 57, 33]",3,0,90,0,4,57,28,Medium
user_8,2024-11-09,94,"[84, 52]",4,4,94,3,2,84,52,Low
user_8,2024-11-08,240,"[58, 102]",4,0,87,0,2,102,58,High
user_8,2024-11-07,209,"[96, 120, 58]",4,5,53,2,3,120,96,Medium
user_8,2024-11-06,116,"[105, 61, 67]",4,2,100,3,3,105,105,Low
user_8,2024-11-05,235,"[10, 89, 103, 10]",2,3,51,3,4,103,10,High
user_8,2024-11-04,198,[53],9,0,87,3,1,53,53,Medium
user_8,2024-11-03,257,"[91, 117, 87, 88, 78]",2,0,56,3,5,117,78,High
user_8,2024-11-02,180,"[72, 47]",3,5,64,2,2,72,47,Medium
user_8,2024-11-01,82,"[29, 109, 35, 100]",6,2,91,2,4,109,35,Low
user_8,2024-10-31,223,[90],0,1,90,0,1,90,90,High
user_8,2024-10-30,232,[22],0,0,50,3,1,22,22,High
user_8,2024-10-29,91,[114],3,5,90,3,1,114,114,Low
user_8,2024-10-28,58,[12],1,4,87,2,1,12,12,Low
user_8,2024-10-27,213,"[117, 34, 70, 43, 104]",5,2,68,2,5,117,70,High
user_8,2024-10-26,141,"[52, 95, 39, 101, 95]",10,3,51,2,5,101,52,Medium
user_8,2024-10-25,127,"[99, 17, 32, 49, 43]",9,1,78,1,5,99,99,Medium
user_8,2024-10-24,236,"[62, 84, 82]",9,3,50,2,3,84,84,High
user_8,2024-10-23,190,"[35, 87, 96, 118, 106]",4,4,56,2,5,118,35,Medium
user_8,2024-10-22,229,"[32, 103]",4,2,86,3,2,103,32,High
user_8,2024-10-21,158,"[118, 102]",0,3,81,0,2,118,118,Medium
user_8,2024-10-20,245,"[108, 105, 115, 77, 25]",8,1,56,2,5,115,105,High
user_8,2024-10-19,48,"[65, 44]",8,2,69,1,2,65,44,Low
user_9,2024-11-17,240,"[94, 119]",0,2,69,3,2,119,94,High
user_9,2024-11-16,119,"[116, 21, 104, 109]",6,0,92,3,4,116,109,Medium
user_9,2024-11-15,75,"[80, 100, 115, 24]",2,5,52,1,4,115,115,Low
user_9,2024-11-14,227,"[67, 48]",7,2,57,2,2,67,67,High
user_9,2024-11-13,277,"[50, 56, 12, 94]",2,4,76,3,4,94,94,High
user_9,2024-11-12,183,"[28, 26, 49, 57]",2,1,78,1,4,57,26,Medium
user_9,2024-11-11,246,"[73, 30, 14]",10,1,86,0,3,73,73,High
user_9,2024-11-10,109,"[21, 56, 36, 75, 119]",5,2,63,1,5,119,75,Low
user_9,2024-11-09,229,[111],0,0,59,1,1,111,111,High
user_9,2024-11-08,231,"[52, 46, 49, 54, 23]",10,4,96,1,5,54,54,High
user_9,2024-11-07,214,[16],9,4,92,1,1,16,16,High
user_9,2024-11-06,191,[45],5,1,92,1,1,45,45,Medium
user_9,2024-11-05,121,[12],10,0,99,2,1,12,12,Medium
user_9,2024-11-04,135,"[53, 40, 58, 20]",4,1,55,3,4,58,40,Medium
user_9,2024-11-03,73,[43],8,1,69,2,1,43,43,Low
user_9,2024-11-02,95,"[51, 86, 24, 23, 57]",6,3,56,1,5,86,51,Low
user_9,2024-11-01,295,"[12, 113, 76, 99]",0,5,97,3,4,113,99,High
user_9,2024-10-31,134,"[35, 88]",9,4,71,1,2,88,35,Medium
user_9,2024-10-30,43,"[42, 76, 85, 117, 75]",9,0,65,2,5,117,117,Low
user_9,2024-10-29,71,[41],2,5,80,2,1,41,41,Low
user_9,2024-10-28,279,"[113, 71, 111, 91, 100]",1,5,55,2,5,113,100,High
user_9,2024-10-27,198,"[22, 95, 112, 20]",4,4,59,0,4,112,22,Medium
user_9,2024-10-26,50,"[55, 51, 53]",6,2,69,2,3,55,51,Low
user_9,2024-10-25,76,"[117, 105, 31, 82]",3,0,81,2,4,117,117,Low
user_9,2024-10-24,154,"[14, 104, 66, 21]",1,5,96,0,4,104,14,Medium
user_9,2024-10-23,53,"[55, 13, 56, 48, 103]",8,2,99,3,5,103,48,Low
user_9,2024-10-22,196,"[70, 86, 92, 57, 107]",10,1,72,0,5,107,86,Medium
user_9,2024-10-21,53,[28],1,5,83,1,1,28,28,Low
user_9,2024-10-20,109,"[74, 32, 63]",4,4,79,1,3,74,63,Low
user_9,2024-10-19,117,[83],6,5,94,2,1,83,83,Low
user_10,2024-11-17,277,[14],9,2,52,3,1,14,14,High
user_10,2024-11-16,126,[90],2,1,50,1,1,90,90,Medium
user_10,2024-11-15,89,"[78, 91, 90, 26, 31]",6,0,62,2,5,91,78,Low
user_10,2024-11-14,30,"[107, 87]",10,0,50,0,2,107,87,Low
user_10,2024-11-13,298,"[80, 68, 73, 39]",0,2,98,0,4,80,80,High
user_10,2024-11-12,217,"[36, 108, 62, 62]",6,1,81,2,4,108,36,High
user_10,2024-11-11,124,"[90, 101]",2,5,88,3,2,101,101,Medium
user_10,2024-11-10,233,"[59, 105]",3,5,67,0,2,105,105,High
user_10,2024-11-09,185,"[26, 99, 87, 32]",3,5,92,2,4,99,26,Medium
user_10,2024-11-08,69,"[56, 48, 75, 29]",1,0,70,1,4,75,48,Low
user_10,2024-11-07,131,"[76, 15, 42]",9,0,86,1,3,76,15,Medium
user_10,2024-11-06,243,"[70, 83]",5,0,73,2,2,83,83,High
user_10,2024-11-05,234,[101],5,0,65,0,1,101,101,High
user_10,2024-11-04,218,"[50, 77, 104]",8,0,97,2,3,104,50,High
user_10,2024-11-03,232,"[43, 38, 92]",8,4,83,3,3,92,92,High
user_10,2024-11-02,234,"[40, 71, 69, 63]",3,5,58,2,4,71,69,High
user_10,2024-11-01,155,"[45, 110]",0,3,67,2,2,110,45,Medium
user_10,2024-10-31,284,"[87, 36, 66, 67]",7,2,76,0,4,87,67,High
user_10,2024-10-30,210,"[92, 23]",4,1,88,2,2,92,23,Medium
user_10,2024-10-29,163,[113],4,0,54,0,1,113,113,Medium
user_10,2024-10-28,192,"[18, 88, 30, 86]",3,3,94,1,4,88,88,Medium
user_10,2024-10-27,130,[87],6,1,50,2,1,87,87,Medium
user_10,2024-10-26,135,"[38, 33]",8,4,57,1,2,38,38,Medium
user_10,2024-10-25,291,[74],6,4,64,2,1,74,74,High
user_10,2024-10-24,169,[102],1,0,60,2,1,102,102,Medium
user_10,2024-10-23,167,"[67, 44, 75]",4,1,90,2,3,75,44,Medium
user_10,2024-10-22,31,"[53, 37, 119, 61]",9,3,89,2,4,119,53,Low
user_10,2024-10-21,235,"[114, 97, 76, 59, 80]",0,5,82,2,5,114,76,High
user_10,2024-10-20,150,[48],4,1,94,3,1,48,48,Medium
user_10,2024-10-19,119,"[59, 83]",9,4,51,0,2,83,59,Medium
user_11,2024-11-17,238,"[65, 119, 24]",9,0,82,2,3,119,65,High
user_11,2024-11-16,121,"[117, 25]",9,2,76,0,2,117,117,Medium
user_11,2024-11-15,41,"[13, 76, 53, 113]",0,4,81,3,4,113,76,Low
user_11,2024-11-14,131,[20],1,4,99,1,1,20,20,Medium
user_11,2024-11-13,131,[52],2,5,99,2,1,52,52,Medium
user_11,2024-11-12,281,[101],7,5,51,3,1,101,101,High
user_11,2024-11-11,208,"[103, 45]",6,3,53,2,2,103,45,Medium
user_11,2024-11-10,262,[70],5,3,65,0,1,70,70,High
user_11,2024-11-09,44,"[61, 56, 106, 60, 46]",6,0,81,2,5,106,56,Low
user_11,2024-11-08,185,"[23, 40, 117]",5,2,88,3,3,117,117,Medium
user_11,2024-11-07,78,"[74, 81]",4,3,71,1,2,81,81,Low
user_11,2024-11-06,289,"[81, 101]",8,2,61,3,2,101,101,High
user_11,2024-11-05,148,"[55, 52]",4,1,52,2,2,55,52,Medium
user_11,2024-11-04,168,"[120, 24]",1,2,50,2,2,120,24,Medium
user_11,2024-11-03,101,"[90, 82, 77, 68]",8,3,71,1,4,90,68,Low
user_11,2024-11-02,286,"[39, 71, 104]",1,0,60,1,3,104,104,High
user_11,2024-11-01,65,"[55, 63, 18]",0,5,56,0,3,63,63,Low
user_11,2024-10-31,38,"[61, 40, 35, 96]",1,5,69,1,4,96,35,Low
user_11,2024-10-30,166,[21],5,1,55,0,1,21,21,Medium
user_11,2024-10-29,214,"[46, 16, 50]",10,0,91,0,3,50,16,High
user_11,2024-10-28,266,"[111, 35, 44, 40]",4,5,52,3,4,111,111,High
user_11,2024-10-27,146,"[15, 78, 58]",8,2,63,3,3,78,15,Medium
user_11,2024-10-26,66,"[62, 96, 72]",3,3,69,0,3,96,72,Low
user_11,2024-10-25,43,"[105, 80, 29]",4,3,97,1,3,105,105,Low
user_11,2024-10-24,219,"[106, 23, 94, 78]",4,5,66,0,4,106,106,High
user_11,2024-10-23,64,"[90, 21, 47, 83]",6,3,59,3,4,90,83,Low
user_11,2024-10-22,266,"[63, 28, 118]",10,2,99,2,3,118,118,High
user_11,2024-10-21,173,"[95, 91]",3,2,70,0,2,95,95,Medium
user_11,2024-10-20,215,"[83, 55, 37, 108, 75]",8,0,79,2,5,108,75,High
user_11,2024-10-19,40,"[101, 53]",0,3,90,1,2,101,53,Low
user_12,2024-11-17,167,"[97, 109, 32, 58, 92]",5,1,93,2,5,109,58,Medium
user_12,2024-11-16,75,"[29, 44, 65, 51, 15]",8,3,83,0,5,65,65,Low
user_12,2024-11-15,78,"[38, 73, 55]",1,2,93,0,3,73,55,Low
user_12,2024-11-14,80,"[119, 92, 54, 27, 90]",2,0,81,3,5,119,92,Low
user_12,2024-11-13,216,[106],5,2,95,1,1,106,106,High
user_12,2024-11-12,189,"[89, 80, 39]",7,1,55,2,3,89,39,Medium
user_12,2024-11-11,42,"[62, 31, 102, 17]",0,0,54,0,4,102,31,Low
user_12,2024-11-10,66,"[58, 82, 89]",4,0,88,1,3,89,58,Low
user_12,2024-11-09,237,"[52, 99, 81]",6,0,71,3,3,99,52,High
user_12,2024-11-08,273,"[42, 74, 64, 98, 109]",7,5,54,0,5,109,109,High
user_12,2024-11-07,219,"[116, 76]",8,1,75,0,2,116,76,High
user_12,2024-11-06,279,"[21, 54]",0,1,51,2,2,54,21,High
